N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
21.0,4.23213,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
46.0,10.11908,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
100.0,22.717,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
215.0,48.76415,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
464.0,104.17264,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
1000.0,226.27,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
2.0,0.85228,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
4.0,1.07556,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
10.0,0.5827,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
21.0,0.92211,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
46.0,1.00234,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
100.0,0.994,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
215.0,0.8729,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
464.0,1.0208000000000002,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
1000.0,1.08,fd,gs,hs,0.227,0.227,7,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
2.0,0.58394,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
4.0,0.6842,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
10.0,0.4005,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
21.0,0.11004,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
46.0,0.06394,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
100.0,0.0699999999999999,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
215.0,0.043,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
464.0,0.07424,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
1000.0,0.08,fs,gs,hs,0.227,1.0,5,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
2.0,0.66664,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
4.0,0.47288,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
10.0,0.0882999999999999,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
21.0,0.01176,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
46.0,0.0023,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
100.0,0.0,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
215.0,0.0,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
464.0,0.0,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
1000.0,0.0,fs,gs,hs,0.227,0.5,5,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
2.0,0.6196,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
4.0,0.71028,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
10.0,0.555,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
21.0,3.13383,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
46.0,8.01458,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
100.0,18.239,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
215.0,38.41405,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
464.0,83.83088,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
1000.0,181.71,fd,gs,hs,0.227,0.75,5,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
2.0,0.6605,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
4.0,0.64548,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
10.0,0.2594,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
21.0,0.86793,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
46.0,1.39104,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
100.0,2.459,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
215.0,5.211600000000001,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
464.0,11.41904,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
1000.0,23.8,fd,gs,hs,0.227,0.5,5,2.097,13.746,GCN
