N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
21.0,0.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
2.0,0.3699,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
4.0,0.1622,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
10.0,0.0014999999999999,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
2.0,0.69646,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
4.0,0.19104,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
10.0,0.0063,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
21.0,0.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
46.0,0.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
100.0,0.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
215.0,0.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
464.0,0.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
1000.0,0.0,es,gs,hs,1.0,0.224,0.75,5,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
2.0,0.51838,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
4.0,0.29176,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
10.0,0.0055,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.25,0.224,1.0,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
2.0,0.47942,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
4.0,0.23416,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
10.0,0.0037,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
2.0,0.47994,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
4.0,0.21832,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
10.0,0.002,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.5,0.224,0.224,5,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
2.0,0.49452,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
4.0,0.27024,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
10.0,0.0044,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.0,0.224,0.75,7,1.848,0.152,EC
