N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
10000.0,0.93,es,gs,ss,0.0,0.9,0.9,5,0.99
1.0,1.0,es,gs,ss,0.0,0.0,0.7,5,0.85
2.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
7.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
21.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
59.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
166.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
464.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
1291.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
3593.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
10000.0,0.0,es,gs,ss,0.0,0.0,0.7,5,0.85
1.0,1.0,es,gs,hs,0.0,1.0,0.9,5,0.95
2.0,0.590598,es,gs,hs,0.0,1.0,0.9,5,0.95
7.0,0.316414,es,gs,hs,0.0,1.0,0.9,5,0.95
21.0,0.1120559999999999,es,gs,hs,0.0,1.0,0.9,5,0.95
59.0,0.004484,es,gs,hs,0.0,1.0,0.9,5,0.95
166.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.95
464.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.95
1291.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.95
3593.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.95
10000.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.95
1.0,1.0,es,gs,hs,0.75,0.7,0.7,5,0.95
2.0,0.903942,es,gs,hs,0.75,0.7,0.7,5,0.95
7.0,0.943894,es,gs,hs,0.75,0.7,0.7,5,0.95
21.0,0.800646,es,gs,hs,0.75,0.7,0.7,5,0.95
59.0,0.826472,es,gs,hs,0.75,0.7,0.7,5,0.95
166.0,0.817052,es,gs,hs,0.75,0.7,0.7,5,0.95
464.0,0.768384,es,gs,hs,0.75,0.7,0.7,5,0.95
1291.0,0.7461979999999999,es,gs,hs,0.75,0.7,0.7,5,0.95
3593.0,0.8371689999999999,es,gs,hs,0.75,0.7,0.7,5,0.95
10000.0,0.74,es,gs,hs,0.75,0.7,0.7,5,0.95
1.0,1.0,es,gs,hs,0.0,0.9,0.8,5,0.75
2.0,0.44459,es,gs,hs,0.0,0.9,0.8,5,0.75
7.0,0.03395,es,gs,hs,0.0,0.9,0.8,5,0.75
21.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
59.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
