N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar
1.0,1.0,fs,gs,ss,0.6,1.0,5,0.9,0.1
2.0,0.73646,fs,gs,ss,0.6,1.0,5,0.9,0.1
4.0,0.6402,fs,gs,ss,0.6,1.0,5,0.9,0.1
10.0,0.581,fs,gs,ss,0.6,1.0,5,0.9,0.1
21.0,0.55146,fs,gs,ss,0.6,1.0,5,0.9,0.1
46.0,0.43056,fs,gs,ss,0.6,1.0,5,0.9,0.1
100.0,0.292,fs,gs,ss,0.6,1.0,5,0.9,0.1
215.0,0.10965,fs,gs,ss,0.6,1.0,5,0.9,0.1
464.0,0.00928,fs,gs,ss,0.6,1.0,5,0.9,0.1
1000.0,0.0,fs,gs,ss,0.6,1.0,5,0.9,0.1
1.0,1.0,fs,gs,ss,0.5,1.0,3,1.0,0.01
2.0,0.62942,fs,gs,ss,0.5,1.0,3,1.0,0.01
4.0,0.42308,fs,gs,ss,0.5,1.0,3,1.0,0.01
10.0,0.2088999999999999,fs,gs,ss,0.5,1.0,3,1.0,0.01
21.0,0.05103,fs,gs,ss,0.5,1.0,3,1.0,0.01
46.0,0.00092,fs,gs,ss,0.5,1.0,3,1.0,0.01
100.0,0.0,fs,gs,ss,0.5,1.0,3,1.0,0.01
215.0,0.0,fs,gs,ss,0.5,1.0,3,1.0,0.01
464.0,0.0,fs,gs,ss,0.5,1.0,3,1.0,0.01
1000.0,0.0,fs,gs,ss,0.5,1.0,3,1.0,0.01
1.0,1.0,fd,gs,ss,0.6,0.7,3,1.0,0.05
2.0,1.19388,fd,gs,ss,0.6,0.7,3,1.0,0.05
4.0,0.98948,fd,gs,ss,0.6,0.7,3,1.0,0.05
10.0,0.6811,fd,gs,ss,0.6,0.7,3,1.0,0.05
21.0,0.48258,fd,gs,ss,0.6,0.7,3,1.0,0.05
46.0,0.22126,fd,gs,ss,0.6,0.7,3,1.0,0.05
100.0,0.026,fd,gs,ss,0.6,0.7,3,1.0,0.05
215.0,0.0,fd,gs,ss,0.6,0.7,3,1.0,0.05
464.0,0.0,fd,gs,ss,0.6,0.7,3,1.0,0.05
1000.0,0.0,fd,gs,ss,0.6,0.7,3,1.0,0.05
1.0,1.0,fs,gs,hs,1.0,0.7,7,1.1,0.01
2.0,0.74896,fs,gs,hs,1.0,0.7,7,1.1,0.01
4.0,0.68648,fs,gs,hs,1.0,0.7,7,1.1,0.01
10.0,0.7506999999999999,fs,gs,hs,1.0,0.7,7,1.1,0.01
21.0,0.95445,fs,gs,hs,1.0,0.7,7,1.1,0.01
46.0,1.14448,fs,gs,hs,1.0,0.7,7,1.1,0.01
100.0,1.275,fs,gs,hs,1.0,0.7,7,1.1,0.01
215.0,1.2599,fs,gs,hs,1.0,0.7,7,1.1,0.01
464.0,1.2667199999999998,fs,gs,hs,1.0,0.7,7,1.1,0.01
1000.0,1.52,fs,gs,hs,1.0,0.7,7,1.1,0.01
1.0,1.0,fd,gs,ss,0.7,0.9,7,1.0,0.05
2.0,0.98376,fd,gs,ss,0.7,0.9,7,1.0,0.05
4.0,0.86636,fd,gs,ss,0.7,0.9,7,1.0,0.05
10.0,0.8072,fd,gs,ss,0.7,0.9,7,1.0,0.05
21.0,0.7599899999999999,fd,gs,ss,0.7,0.9,7,1.0,0.05
46.0,0.73922,fd,gs,ss,0.7,0.9,7,1.0,0.05
100.0,0.796,fd,gs,ss,0.7,0.9,7,1.0,0.05
215.0,0.75895,fd,gs,ss,0.7,0.9,7,1.0,0.05
