N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
464.0,0.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
2.0,0.28168,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
4.0,0.06176,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
10.0,0.0004,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.5,0.165,0.5,3,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
2.0,0.37176,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
4.0,0.08892,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
10.0,0.0005,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.5,0.165,1.0,5,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
2.0,0.46624,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
4.0,0.13452,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
10.0,0.0003,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.0,0.165,1.0,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
2.0,0.2639,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
4.0,0.05276,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
10.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
21.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
46.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
100.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
215.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
464.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,1.0,0.165,0.75,3,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
2.0,0.20046,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
4.0,0.01116,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
10.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.0,0.165,0.75,7,1.453,0.547,FR
1.0,1.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
2.0,0.60568,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
4.0,0.13948,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
10.0,0.0025,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
21.0,0.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
46.0,0.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
100.0,0.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
215.0,0.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
464.0,0.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
1000.0,0.0,es,gs,hs,1.0,0.165,1.0,7,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
2.0,0.19748,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
4.0,0.03136,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
10.0,0.0001,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.25,0.165,0.5,3,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
2.0,0.26484,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
4.0,0.0458,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
10.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.25,0.165,1.0,5,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
2.0,0.3575,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
4.0,0.07492,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
10.0,0.0002,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.25,0.165,0.165,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
2.0,0.37262,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
4.0,0.08992,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
10.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.0,0.165,0.75,5,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
2.0,0.46414,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
4.0,0.13196,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
10.0,0.0003,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.25,0.165,1.0,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
2.0,0.31666,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
4.0,0.08564,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
10.0,0.0001,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
2.0,0.31188,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
4.0,0.07916,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
10.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
2.0,0.39882,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
4.0,0.1248,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
10.0,0.0004,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.75,0.165,0.165,3,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
2.0,0.4935,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
4.0,0.14784,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
10.0,0.0002,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
2.0,0.46396,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
4.0,0.12328,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
10.0,0.0004,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.75,0.165,1.0,7,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
2.0,0.20182,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
4.0,0.01116,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
10.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
