N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
1.0,1.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
2.0,0.70672,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
4.0,0.2002,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
10.0,0.007,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
21.0,0.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
2.0,0.51598,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
4.0,0.30552,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
10.0,0.0071,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
2.0,0.45134,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
4.0,0.0956,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
10.0,0.0002,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
