N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
464.0,0.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
2.0,0.65166,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
4.0,0.38964,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
10.0,0.0095,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.165,7,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
2.0,0.3121,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
4.0,0.10032,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
10.0,0.0025,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.75,3,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
2.0,0.53176,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
4.0,0.33148,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
10.0,0.0139,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
21.0,0.00021,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.75,7,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
2.0,0.54766,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
4.0,0.31592,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
10.0,0.0076999999999999,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.5,7,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
2.0,0.52844,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
4.0,0.3848,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
10.0,0.0149,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,1.0,7,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
2.0,0.43984,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
4.0,0.18036,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
10.0,0.0040999999999999,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.75,5,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
2.0,0.53938,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
4.0,0.29348,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
10.0,0.0134,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,1.0,7,1.306,1.403,FR
